1.05	2
1.414	1
1.414	0
0.795	1
0.9	1
1.414	1
1.414	0
0.315	0
0.9	1
1.414	1
1.414	1
0.315	0
0.9	1
1.414	1
1.414	0
0.33	0
0.9	1
1.414	1
1.414	1
0.33	0
0.9	1
1.414	1
1.414	0
0.35	0
0.9	1
1.414	1
1.414	1
0.35	0
0.9	1
1.414	1
1.414	0
0.4	0
0.9	1
1.414	1
1.414	1
0.4	0
1	2
1.414	1
1.414	0
0.415	1
1	2
1.414	1
1.414	2
0.415	1
1	2
1.414	1
1.414	0
0.45	1
1	2
1.414	1
1.414	2
0.45	1
1	2
1.414	1
1.414	0
0.55	1
1	2
1.414	1
1.414	2
0.55	1
1	2
1.414	1
1.414	0
0.65	1
1	2
1.414	1
1.414	2
0.65	1
0.98	2
1.414	1
1.414	0
0.57	1
0.98	2
1.414	1
1.414	2
0.57	1
0.9	2
1.626	1
1.626	0
0.55	1
s
